{'checkpoint': 'check_default', 'dataset': 'mazes_small', 'depth': 128, 'epochs': 50, 'lr': 0.002, 'lr_factor': 0.25, 'lr_schedule': [40], 'mode': 'default', 'model': 'dalernn', 'model_path': None, 'no_save_log': False, 'optimizer': 'SGD', 'output': 'output_default', 'problem': 'segment', 'save_json': True, 'save_period': 50, 'test_batch_size': 50, 'test_dataset': None, 'test_iterations': None, 'train_batch_size': 50, 'train_log': 'train_log.txt', 'val_period': 1, 'width': 1, 'stats_file_name': 'dalernn_s_128', 'checkpoint_dir': PosixPath('/home/AD/yutang/DeepThinking-main/output_stats/dalernn_s_128_pszrbs'), 'global_stats_file': <_io.TextIOWrapper name='/home/AD/yutang/DeepThinking-main/output_stats/dalernn_s_128_pszrbs/stats.txt' mode='a' encoding='UTF-8'>}
train_model.py --model dalernn --width 1 --depth 128 --dataset mazes_small --lr 0.002 --lr_factor 0.25 --lr_schedule 40 --epochs 50 --problem segment --save_json --save_period 50 --train_batch_size 50 --stats_file_name dalernn_s_128
{"model": "dalernn", "num_params": 5070560, "lr_factor": 0.25, "lr": 0.002, "epochs": 50, "train_batch_size": 50, "optimizer": "SGD", "dataset": "mazes_small"}
{"epoch": 0, "lr_weights": 0.0006593599079287213, "loss": 0.488554805546999, "acc": 0.002, "train_acc": 0.012, "val_acc": 0.02}
{"epoch": 1, "lr_weights": 0.0009023767278119472, "loss": 0.3731199749112129, "acc": 0.226, "train_acc": 0.8, "val_acc": 0.83}
{"epoch": 2, "lr_weights": 0.001101342071765557, "loss": 0.2570735256522894, "acc": 9.398, "train_acc": 41.254, "val_acc": 40.22}
{"epoch": 3, "lr_weights": 0.002, "loss": 0.04280965591035783, "acc": 68.344, "train_acc": 90.418, "val_acc": 89.55}
{"epoch": 4, "lr_weights": 0.002, "loss": 0.012821519379562232, "acc": 90.128, "train_acc": 96.982, "val_acc": 96.64}
{"epoch": 5, "lr_weights": 0.002, "loss": 0.0036665515940112526, "acc": 97.47, "train_acc": 98.422, "val_acc": 97.94}
{"epoch": 6, "lr_weights": 0.002, "loss": 0.002852493658778258, "acc": 98.144, "train_acc": 98.674, "val_acc": 98.32}
{"epoch": 7, "lr_weights": 0.002, "loss": 0.0022429392671911045, "acc": 98.6, "train_acc": 98.742, "val_acc": 98.43}
{"epoch": 8, "lr_weights": 0.002, "loss": 0.0021389918525528628, "acc": 98.552, "train_acc": 99.02, "val_acc": 98.64}
{"epoch": 9, "lr_weights": 0.002, "loss": 0.0017979787901858798, "acc": 98.808, "train_acc": 98.792, "val_acc": 98.4}
{"epoch": 10, "lr_weights": 0.002, "loss": 0.0037799705611687388, "acc": 97.142, "train_acc": 98.118, "val_acc": 97.85}
{"epoch": 11, "lr_weights": 0.002, "loss": 0.001890671788729378, "acc": 98.656, "train_acc": 99.07, "val_acc": 98.73}
{"epoch": 12, "lr_weights": 0.002, "loss": 0.001504370100403321, "acc": 98.868, "train_acc": 99.06, "val_acc": 98.72}
{"epoch": 13, "lr_weights": 0.002, "loss": 0.0013304664137613145, "acc": 98.938, "train_acc": 98.842, "val_acc": 98.31}
{"epoch": 14, "lr_weights": 0.002, "loss": 0.0012175854200613685, "acc": 99.026, "train_acc": 98.65, "val_acc": 98.12}
{"epoch": 15, "lr_weights": 0.002, "loss": 0.0010977674542518797, "acc": 99.038, "train_acc": 99.078, "val_acc": 98.52}
{"epoch": 16, "lr_weights": 0.002, "loss": 0.0015954371540428838, "acc": 98.546, "train_acc": 98.794, "val_acc": 98.21}
{"epoch": 17, "lr_weights": 0.002, "loss": 0.0012100722876712097, "acc": 98.9, "train_acc": 97.54, "val_acc": 96.96}
{"epoch": 18, "lr_weights": 0.002, "loss": 0.001066294027325057, "acc": 98.96, "train_acc": 99.26, "val_acc": 98.71}
{"epoch": 19, "lr_weights": 0.002, "loss": 0.0008977153708256083, "acc": 99.164, "train_acc": 98.886, "val_acc": 98.15}
{"epoch": 20, "lr_weights": 0.002, "loss": 0.0007803147641352552, "acc": 99.22, "train_acc": 99.284, "val_acc": 98.78}
{"epoch": 21, "lr_weights": 0.002, "loss": 0.0007140495535313676, "acc": 99.264, "train_acc": 99.368, "val_acc": 98.78}
{"epoch": 22, "lr_weights": 0.002, "loss": 0.0006817788779299007, "acc": 99.268, "train_acc": 99.2, "val_acc": 98.41}
{"epoch": 23, "lr_weights": 0.002, "loss": 0.0006673650296215783, "acc": 99.262, "train_acc": 99.464, "val_acc": 98.95}
{"epoch": 24, "lr_weights": 0.002, "loss": 0.0005593282718837144, "acc": 99.384, "train_acc": 99.43, "val_acc": 98.55}
{"epoch": 25, "lr_weights": 0.002, "loss": 0.0008725980590061226, "acc": 98.94, "train_acc": 99.48, "val_acc": 98.93}
{"epoch": 26, "lr_weights": 0.002, "loss": 0.0012457713685726048, "acc": 98.786, "train_acc": 99.282, "val_acc": 98.77}
{"epoch": 27, "lr_weights": 0.002, "loss": 0.0006100362279430556, "acc": 99.308, "train_acc": 99.492, "val_acc": 98.94}
{"epoch": 28, "lr_weights": 0.002, "loss": 0.0005025522714859108, "acc": 99.418, "train_acc": 99.456, "val_acc": 98.89}
{"epoch": 29, "lr_weights": 0.002, "loss": 0.00042967604646037215, "acc": 99.494, "train_acc": 99.642, "val_acc": 99.09}
{"epoch": 30, "lr_weights": 0.002, "loss": 0.0004990002351441945, "acc": 99.382, "train_acc": 99.478, "val_acc": 98.81}
{"epoch": 31, "lr_weights": 0.002, "loss": 0.00040103612552047706, "acc": 99.51, "train_acc": 99.474, "val_acc": 98.76}
{"epoch": 32, "lr_weights": 0.002, "loss": 0.0003682597271508712, "acc": 99.558, "train_acc": 99.518, "val_acc": 98.88}
{"epoch": 33, "lr_weights": 0.002, "loss": 0.00034340935143336535, "acc": 99.588, "train_acc": 99.53, "val_acc": 98.82}
{"epoch": 34, "lr_weights": 0.002, "loss": 0.0003579715956475411, "acc": 99.516, "train_acc": 99.632, "val_acc": 98.98}
{"epoch": 35, "lr_weights": 0.002, "loss": 0.0002576803825213574, "acc": 99.666, "train_acc": 99.792, "val_acc": 99.08}
{"epoch": 36, "lr_weights": 0.002, "loss": 0.00024418756933300754, "acc": 99.656, "train_acc": 99.648, "val_acc": 99.09}
{"epoch": 37, "lr_weights": 0.002, "loss": 0.0006573870892534614, "acc": 99.26, "train_acc": 87.534, "val_acc": 87.23}
{"epoch": 38, "lr_weights": 0.002, "loss": 0.0015639420435727515, "acc": 98.382, "train_acc": 99.576, "val_acc": 98.87}
{"epoch": 39, "lr_weights": 0.0005, "loss": 0.0006370632016987656, "acc": 99.264, "train_acc": 99.524, "val_acc": 99.01}
{"epoch": 40, "lr_weights": 0.0005, "loss": 0.0002582387234979251, "acc": 99.688, "train_acc": 99.794, "val_acc": 99.13}
{"epoch": 41, "lr_weights": 0.0005, "loss": 0.00019586039615023765, "acc": 99.792, "train_acc": 99.826, "val_acc": 99.18}
{"epoch": 42, "lr_weights": 0.0005, "loss": 0.00017413234312698477, "acc": 99.808, "train_acc": 99.866, "val_acc": 99.14}
{"epoch": 43, "lr_weights": 0.0005, "loss": 0.00015862727735293448, "acc": 99.834, "train_acc": 99.866, "val_acc": 99.2}
